Sr.,Treatment Kit/ID No,Qty,Randomization Group,Status
1,LUCENTIS 0.5 mg 1001,1,LUCENTIS 0.5 mg PFS,Active
2,LUCENTIS 0.5 mg 1002,1,LUCENTIS 0.5 mg PFS,Active
3,LUCENTIS 0.5 mg 1003,1,LUCENTIS 0.5 mg PFS,Active
4,LUCENTIS 0.5 mg 1004,1,LUCENTIS 0.5 mg PFS,Active
5,LUCENTIS 0.5 mg 1005,1,LUCENTIS 0.5 mg PFS,Active
6,LUCENTIS 0.5 mg 1006,1,LUCENTIS 0.5 mg PFS,Active
7,LUCENTIS 0.5 mg 1007,1,LUCENTIS 0.5 mg PFS,Active
8,LUCENTIS 0.5 mg 1008,1,LUCENTIS 0.5 mg PFS,Active
9,LUCENTIS 0.5 mg 1009,1,LUCENTIS 0.5 mg PFS,Active
10,LUCENTIS 0.5 mg 1010,1,LUCENTIS 0.5 mg PFS,Active
