Sr.,Treatment Kit/ID No,Qty,Randomization Group,Status
1,LUCENTIS 0.5 mg PFS50011115,1,LUCENTIS 0.5 mg PFS,Active
2,LUCENTIS 0.5 mg PFS50011116,1,LUCENTIS 0.5 mg PFS,Active
3,LUCENTIS 0.5 mg PFS50011117,1,LUCENTIS 0.5 mg PFS,Active
4,LUCENTIS 0.5 mg PFS50011118,1,LUCENTIS 0.5 mg PFS,Active
5,LUCENTIS 0.5 mg PFS50011119,1,LUCENTIS 0.5 mg PFS,Active
6,LUCENTIS 0.5 mg PFS50011120,1,LUCENTIS 0.5 mg PFS,Active
7,LUCENTIS 0.5 mg PFS50011121,1,LUCENTIS 0.5 mg PFS,Active
8,LUCENTIS 0.5 mg PFS50011122,1,LUCENTIS 0.5 mg PFS,Active
9,LUCENTIS 0.5 mg PFS50011123,1,LUCENTIS 0.5 mg PFS,Active
10,LUCENTIS 0.5 mg PFS50011124,1,LUCENTIS 0.5 mg PFS,Active
